COD_INDICADOR;COD_UNIDAD;COD_AREA;COD_SEC_ECO;COD_NORMA;COD_HITO;NOMBRE_ACTIVIDAD;PRODUCTO ESPERADO;UNIDAD DE MEDIDA;CMI;CLASIFICADOR RELACIONADO;CODCLASIFICADOR;NOMCLASIFICADOR;COD_ACTIVIDADPADRE;COD_PERSONAL;COD_FUNCION;ACTIVIDAD_DIRECTA_APOYO(DIRECTA=1 APOYO=0);PLAN_MENSUAL_UNICA(MENSUAL=1 UNICA=0);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;ENE_E;FEB_E;MAR_E;ABR_E;MAY_E;JUN_E;JUL_E;AGO_E;SEP_E;OCT_E;NOV_E;DIC_E
110;829;39;33;;;RSC-TCP-CSP-00063 INGENIO AZUCARERO GUABIRA S.A.  ;Servicio ejecutado;Bs;SI;;2084;Cli;11008;347;;1;1;0;0;0;0;0;0;0;0;0;26037.36;0;0;;;;;;;;;;;;
110;829;39;33;;;RSC-TCP-CSP-00065 INDUSTRIAS ALIMENTICIAS FAGAL S.R.L.  ;Servicio ejecutado;Bs;SI;;2076;Cli;11008;347;;1;1;0;0;0;0;0;0;0;0;0;0;0;28764.44;;;;;;;;;;;;
110;829;39;33;;;RSC-TCP-CSP-00066 INGENIO AZUCARERO GUABIRA S.A.  ;Servicio ejecutado;Bs;SI;;2084;Cli;11008;347;;1;1;0;0;0;0;0;65396.16;0;0;0;0;0;0;;;;;;;;;;;;
110;829;39;28;;;RSC-TCP-CSP-00067 HORMIPRET S.R.L  ;Servicio ejecutado;Bs;SI;;2852;Cli;11008;347;;1;1;0;0;0;0;0;0;14720.4;0;0;0;0;0;;;;;;;;;;;;
110;829;39;33;;;RSC-TCP-CSP-00069 INDUSTRIAS DE PASTAS ALIMENTICIAS DEL SUD - INPASTAS S.A.  ;Servicio ejecutado;Bs;SI;;2097;Cli;11008;347;;1;1;0;0;0;0;12980.4;0;0;0;0;0;0;0;;;;;;;;;;;;
110;829;39;33;;;RSC-TCP-CSP-00070 INDUSTRIAS DE ACEITE S.A. PLANTA SANTA CRUZ  ;Servicio ejecutado;Bs;SI;;40994;Cli;11008;347;;1;1;0;0;0;0;27342.36;0;0;0;0;0;0;0;;;;;;;;;;;;
110;829;39;29;;;RSC-TCP-CSP-00071 MONOPOL LTDA - PLANTA SANTA CRUZ  ;Servicio ejecutado;Bs;SI;;2127;Cli;11008;347;;1;1;0;0;0;0;0;14720.4;0;0;0;0;0;0;;;;;;;;;;;;
110;829;39;28;;;RSC-TCP-CSP-00072 MACCAFERRI DE BOLIVIA LTDA.  ;Servicio ejecutado;Bs;SI;;2120;Cli;11008;347;;1;1;0;0;0;0;0;21700;0;0;0;0;0;0;;;;;;;;;;;;
110;829;39;28;;;RTJ-TCP-CSP-00003 Mentar Industrial S.R.L  ;Servicio ejecutado;Bs;SI;;3650;Cli;11008;347;;1;1;0;15138;2175;0;0;0;0;0;0;5570.78;0;0;;;;;;;;;;;;
110;829;39;28;;;RTJ-TCP-CSP-00004 SOBOCE (Ready Mix) Planta Tarija  ;Servicio ejecutado;Bs;SI;;3778;Cli;11008;347;;1;1;0;0;13154.4;0;0;0;0;0;0;0;4178.09;0;;;;;;;;;;;;
110;829;39;33;;;RTJ-TCP-CSP-00006 EMBOTELLADORAS BOLIVIANAS UNIDAS S.A. (EMBOL S.A.) - PLANTA TARIJA  ;Servicio ejecutado;Bs;SI;;2066;Cli;11008;347;;1;1;1392;0;0;0;0;0;0;0;0;12110.4;0;0;;;;;;;;;;;;
110;829;39;28;;;RTJ-TCP-CSP-00007 SOBOCE S.A. - El Puente  ;Servicio ejecutado;Bs;SI;;3101;Cli;11008;347;;1;1;0;0;0;0;0;35231.52;0;0;0;0;0;0;;;;;;;;;;;;
110;829;39;28;;;RSC-TCP-CSP-00076 INDUSTRIA DE PLASTICO KRATOS S.R.L (NUEVA);Servicio ejecutado;Bs;SI;;4012;Cli;11008;347;;1;1;0;0;22404.24;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
110;829;39;28;;;RCH-TCP-CSP-00018 INVERSIONES SUCRE S.A. (CONCRETEC) (NUEVA);Servicio ejecutado;Bs;SI;;2105;Cli;11008;347;;1;1;0;23318.78;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
110;829;39;28;;;RLP-TCP-CSP-00136 PREFORTE S.A.  (NUEVA);Servicio ejecutado;Bs;SI;;3184;Cli;11008;347;;1;1;0;5449.68;21193.2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
110;829;39;;;;NUEVA 1;Servicio ejecutado;Bs;SI;;;Cli;11008;;;1;1;0;0;0;5570.78;0;0;13610.4;0;0;0;0;0;;;;;;;;;;;;
110;829;39;;;;NUEVA 2;Servicio ejecutado;Bs;SI;;;Cli;11008;;;1;1;0;0;0;0;5570.78;0;0;13610.4;0;0;0;0;;;;;;;;;;;;
110;829;39;;;;NUEVA 3;Servicio ejecutado;Bs;SI;;;Cli;11008;;;1;1;0;0;0;0;0;5570.78;0;0;13610.4;0;0;0;;;;;;;;;;;;
110;829;39;;;;NUEVA 4;Servicio ejecutado;Bs;SI;;;Cli;11008;;;1;1;0;0;0;0;0;0;5570.18;0;0;13610.4;0;0;;;;;;;;;;;;
110;829;39;;;;NUEVA 5;Servicio ejecutado;Bs;SI;;;Cli;11008;;;1;1;0;0;0;0;0;0;0;0;3356.18;0;0;13610.4;;;;;;;;;;;;
110;829;39;;;;NUEVA 6;Servicio ejecutado;Bs;SI;;;Cli;11008;;;1;1;0;0;0;0;0;0;0;3356.18;0;13610.4;0;0;;;;;;;;;;;;
110;829;39;;;;NUEVA 7;Servicio ejecutado;Bs;SI;;;Cli;11008;;;1;1;0;0;0;0;0;0;0;0;5570.18;0;13610.4;0;;;;;;;;;;;;
110;829;39;;;;NUEVA 8;Servicio ejecutado;Bs;SI;;;Cli;11008;;;1;1;0;0;0;0;0;0;0;3356.18;0;13610.4;0;0;;;;;;;;;;;;
